claim,cleaned_claim,source_label,normalized_label,source_category
مقطع فيديو من جنازة نجم كرة القدم دييغو مارادونا.,مقطع يديو جناز نجم كر قدم دييغو مارادونا,مضلل,Partly-false,رياضة
صورة لنجم كرة القدم البرازيلي بيليه يجلس أمام ضريح مارادونا.,صورة نجم كر قدم برازيل ولي جلس ضريح مارادونا,زائف,False,رياضة
الكشف عن مخطط لاغتيال رئيس فرنسا إيمانويل ماكرون.,كشف مخطط اغتيال رييس رنسا إيمانويل ماكر,مضلل,Partly-false,سياسة
مارادونا: لو كان إصبعي عربياً لقطعته.,مارادونا اصبع عربي قطع,زائف,False,رياضة
صورة لمقهى في شارع شريف بالإسكندرية.,صورة مق شارع شريف اسكندري,مضلل,Partly-false,ثقافة وفن
"‏""الحب الحقيقي يتمثل في هذه الصورة، كان يمكن لهذا الرجل أن يطلب من زوجته أن تحمله، لكنه فضّل أن يمشي بنفسه"".",حب حقيق تمثل صورة أمكن هذا رجل طلب زوج حمل كان فضل مشى نفس,ساخر,Sarcasm,سياسة
صورة لتونسيين يركضون بقوارير الغاز بعد الأزمة الأخيرة.,صورة تونسي ركض قارورة غاز ازم أخير,مضلل,Partly-false,أخبار
"عالم فايروسات ألماني: بعد انتهاء جائحة فايروس كورونا المستجد سيظهر وباء ""ميرس"" القاتل.",عالم ايروسات مان انتهاء جايح ايروس ورو مستجد ظهر باء ميرس قاتل,إثارة,Partly-false,علوم
"قال ترامب في تغريدة عن وفاة مارادونا ""حزين جداً على وفاة مارادونا، والموسيقى التي قدمها كانت رائعة؛ أستمع لألبوماته منذ عام 1980. ارقد في سلام"".",قال ترامب تغريد فا مارادونا حز جد فا مارادونا موسيق قدم أنت رايع استمع بوم عام ألف وتسعمئة وثمانون ارقد سلام,زائف,False,رياضة
ميلاد يوسف بعد مشاجرته مع 4 شباب في منطقه سيف الدولة في حلب.,ميلاد يوسف مشاجرة أربعة شاب منطق سيف دولة حلب,زائف,False,ثقافة وفن
"صورتان لمحتجين اقتحموا مقر ""القباضة المالية"" في منطقة أم العرائس، في محافظة قفصة التونسية.",صورة محتج اقتحم مقر قباض مالي منطق عرايس محافظ قفص تونسي,مضلل,Partly-false,أخبار
صورٌ مُرفقةٌ بادّعاء أنّ الطلاب اللبنانيين في الخارج يبيتون في الطرقات لعجزهم عن دفع تكاليف السكن، بسبب الأزمة الاقتصادية.,صورة مرفق ادعاء طالب لبناني خارج بات طريق عجز دفع تكليف سكن ازم اقتصادي,مضلل,Partly-false,سياسة
صورة لشارع حسن المظهر في دولة من أفقر دول العالم، إثيوبيا.,صورة شارع حسن مظهر دولة أفقر دولة عالم اثيوبيا,مضلل,Partly-false,سفر
صورة لأسد وحمار وحشي متجاوران مرفقة بالسؤال الآتيي: إما أن الأسد فقد الذاكرة أو أن الحمار ذو شخصية قوية...مانفسيركم,صورة أسد حمار حش متجاور مرفق سوال اتي أسد قد ذاكر حمار شخصي قويهمانفسيركم,missing-content,Partly-false,اجتماعي
السعودية تتلف منتجات المراعي لإنها تحتوي على مواد ضارة,سعودي أتلف منتج مرعى ان احتوى مادة ضار,misleading,False,اجتماعي
احتراق شاحنات نقل بضائع وآليات عسكرية وتسجيل قتلى وجرحى في صفوف الجنود المغاربة بمنطقة الكركرات,احتراق شاحنة نقل ضايع الي عسكري تسجيل قتل جرح صف جندي مغارب منطق كركر,misleading,False,سياسي
في البداية سوف تظن أنها فوتوشوب، لكن في الواقع الصورة حقيقية لتوم كروز وهو جالس على قمة برج خليفة في دبي.,بداي ظن ان توشوب واقع صورة حقيقي توم روز جالس قم برج خليف دب,صحيح,True,ترفيه
الصورة ليست من مباراة كرة قدم، بل من مسابقة لحفظ وتلاوة القرآن الكريم في تنزانيا.,صورة مبارا كر قدم مسابق حفظ تلاو قران كريم تنزانيا,صحيح,True,روحانيات ودين
"صورة تظهر عبارة ""معاً نضيع المستقبل"" شعاراً لانتخابات مجلس الأمة الكويتي القادم.",صورة ظهر عبار معا ضيع مستقبل شعار انتخاب مجلس ام كويت قادم,زائف,False,أخبار
صورتان لحرق مركز الحرس الوطني في محافظة تطاوين خلال الاحتجاجات الأخيرة.,صورة حرق مركز حرس وطن محافظ تطاو احتجاج أخير,مضلل,Partly-false,أخبار
مروان طفل سوري قطع الحدود الأردنية وحده,مروان طفل سور قطع حد أردني حد,missing-content,Partly-false,اجتماعي
لحظات بكاء محمد رمضان بعد قرار وقفه.,حظ كاء محمد رمضان قرار قف,مضلل,Partly-false,ثقافة وفن
والي حزب العدالة والتنمية يأمر بإغلاق مطعم شاورما بسبب عدم احتفال العامل بقدومه كمسؤول دولة.,حزب عدال نمى يامر إغلاق مطعم شاورما عدم احتفال عامل قدوم مسوول دولة,مضلل,Partly-false,أخبار
وفاة الرئيس الجزائري عبد المجيد تبون.,فا رييس جزاير عبد مجيد تب,زائف,False,سياسة
"وزير التربية والتعليم الأردني يقول ""38 بالمئة من الطلبة لا يدخلون منصة درسك يوميًّا، وسيتم التعامل مع أمهاتهم بحزم"".",زير أربى تعليم اردن قال ثمانية وثلاثون مي طلب دخل منص درس يومي تم تعامل امه حزم,زائف,False,أخبار
صوراً لإصلاح طريق الكركرات في المغرب والحدود الموريتانية.,صورة إصلاح طريق كركر مغرب حد موريتاني,مضلل,Partly-false,سياسة
وفاة الفنان الكوميدي عماد الفراجين بحادث سير في الأردن.,فا فنان كوميد عماد راجي حادث سير اردن,زائف,False,ثقافة وفن
تعيين الشيخ مختار الحاج، القارئ النيجري، إماماً في الحرم المكي.,وعى شيخ مختار حاج قار نيجر امام حرم مك,زائف,False,روحانيات ودين
العثور على رضيعة حديثة الولادة ملقاة على حافة سلالم إحدى العمارات بولاية سيدي بلعباس في الغرب الجزائري.,عثور رضيع حديث ولاد ملق حاف سلم أحد عمارة لا سيد عباس غرب جزاير,مضلل,Partly-false,لايف ستايل
مدير شركة فايزر: مصر من أواخر الدول استحقاقاً لمصل كورونا نظراً لقلة الحالات المسجلة.,مدير شرك ايزر مصر أواخر دولة استحقاق مصلي ورو نظر قال حالة مسجل,زائف,False,سياسة
عناوين وأخبار منسوبة إلى جريدة الرسالة الفلسطينية الصادرة في قطاع غزة.,عناو اخبار منسوب جريد رسال فلسطيني صادر قطاع غز,زائف,False,سياسة
"صور لإطلاق ""الجيش الصحراوي"" صواريخ على الجيش المغربي.",صورة اطلاق جيش صحراو صاروخ جيش مغرب,مضلل,Partly-false,سياسة
مقطع فيديو لتبادل إطلاق نار كثيف في محافظة مأرب اليمنية.,مقطع يديو تبادل اطلاق نار ثيف محافظ مارب يمني,مضلل,Partly-false,سياسة
"صورة مرفقة بنص: ""تدمير عدة شاحنات نقل بضائع وآليات عسكرية مغربية، ووفاة 3 من سائقي الشاحنات و 15 جريح وإصابة عدد من جنود الجيش المغربي"".",صورة مرفق نص تدمير عد شاحنة نقل ضايع الي عسكري مغربي وفا ثلاثة سايق شاحنة خمسة وعشرة جريح أصاب عدد جندي جيش مغرب,مضلل,Partly-false,سياسة
رئيسة الوزراء البريطانية السابقة تقول إن إجراءات الحظر للحد من انتشار فايروس كورونا المستجد، خطة الشياطين لخدمة مصالح العصابات الكبرى، أما اللقاح فهو وهم بغرض التربح.,رييس وزير بريطاني سابق قال إجراء حظر حد انتشار ايروس ورو مستجد خط شياط خدم مصلحة عصابة كبر لقاح هو غرض ربح,مضلل,Partly-false,سياسة
"أردوغان عبر تويتر ""بمناسبة الانتصار الذي حققه التحالف التركي في أذربيجان لقد حان الوقت لكي تنظر تركيا إلى القضية اليمنية وإيقاف العبث الحاصل هناك"".",اردوغان تويتر مناسب انتصار حقق تحالف ترك أذربيجان حان وقت نظر تركيا قضي يمني ايقاف عبث حاصل,زائف,False,سياسة
الطفل السوري مروان، يعبر الحدود السورية الأردنية باتجاه الأردن وحيداً مهاجراً، وجد بعد أن فقد أسرته، وهو لم يتجاوز عمره 5 سنوات.,طفل سور مروان عبر حد سوري أردني اتجا اردن حيد مهاجر قد أسرة تجاوز عمر خمسة سنة,مضلل,Partly-false,أخبار
مقطع فيديو لاشتباكات في الصحراء الغربية بين الجيش المغربي والبوليساريو.,مقطع يديو اشتباك صحراء غربي جيش مغرب بوليساريو,مضلل,Partly-false,سياسة
صورة من المناورات العسكرية المصرية الروسية.,صورة مناورة عسكري مصري روسي,مضلل,Partly-false,سياسة
رياح وأمطار قوية تحمل حجارة في فرنسا..... الان . . .سبحان الله العزة لله ورسوله وللامة الإسلامية,ريح أمطار قوي حمل حجار رنسا ل عز لال رسول لم اسلامي,خطأ,False,politics
سوق متلاشيات يباع فيها عتاد عسكري في مدينة بشار في الجزائر,سوق متلاشي بيع عتاد عسكر مدين شاري جزاير,fake,False,سياسي
مقطع يظهر هروب مقاتلي جبهة البوليساريو خلال العملية التي يشنها الجيش المغربي في منطقة الكركرات.,مقطع ظهر هروب مقاتل جبه بوليساريو عمل شن جيش مغرب منطق كركر,misleading,False,سياسي
صورة لطفلة مُصابة بعيارٍ ناريٍّ في رأسها نتيجة إطلاق نار في عرس في العاصمة الليبية، طرابلس.,صورة طفل مصاب عيار نار راسي نتيج اطلاق نار عرس عاصم ليبي طرابلس,مضلل,Partly-false,أخبار
مقطع فيديو يظهر انقلاب سيارة تابعة لجبهة البوليساريو.,مقطع يديو ظهر انقلاب سيار تابع جبه بوليساريو,مضلل,Partly-false,سياسة
"صورة طائرات ""الدرون"" التي تستعملها قوات البوليساريو للتجسس على الجيش المغربي.",صورة طاير در استعمل قوة بوليساريو تجسس جيش مغرب,مضلل,Partly-false,سياسة
صورة زعيم كوريا الشمالية كيم جونغ أون، في إحدى اللافتات الإعلانية لعلامة تجارية في العاصمة التونسية.,صورة زعيم ري شمالي كيم جونغ اون أحد لافتة اعلاني علام تجاري عاصم تونسي,زائف,False,أعمال
صورة لطفل يحمل سلاحاً نسبتها المواقع الإخبارية إلى خبر خطف جبهة البوليساريو للأطفال.,صورة طفل حمل سلاح نسب موقع اخباري خبر خطف جبه بوليساريو طفل,مضلل,Partly-false,سياسة
وفاة الفنانة الكويتية انتصار الشراح.,فا فنان كويتي انتصار شراح,زائف,False,ثقافة وفن
"""روسيا تدعو المغرب إلى وقف عدوانه على الصحراء الغربية"".",روسيا دعا مغرب وقف عدوان صحراء غربي,انتقائي,True,سياسة
الصورة الحقيقية للمناضلة الجزائرية جميلة بوحيرد، التي توفيت تحت التعذيب.,صورة حقيقي مناضل جزايري جميل حيرد توفى تعذيب,زائف,False,سياسة
صور تظهر وليمة غداء أقامها رجل سوداني لزفاف ابنه دعا إليها الفقراء فقط... وبدلاً من أن يتركهم يجلسون لتناول الطعام، جعل كل واحد منهم يأخذ قصعته إلى بيته ليتناولها مع أهل بيته وأطفاله.,صورة ظهر ليم غداء أقام رجل سودان زفاف ابن دعا ي فقير فقط بدل ترك جلس تناول طعام من ياخذ قصعة يت تناول أهل يت أطفال,مضلل,Partly-false,لايف ستايل
القوات المسلحة تدمر مركبة تنقل أسلحة البوليساريو بعدما تم اطلاق النار عليها من قبل البوليساريو ردت عناصر القوات المسلحة الملكية بشكل عاجل ما خلف تدمير آلية لحمل الاسلحة تابعة للبوليساريو شرق الجدار الأمني بمنطقة المحبس.,قوة مسلح دمر مركب نقل اسلح بوليساريو عدم تم اطلاق نار بوليساريو رد عنصر قوة مسلح ملكي شكل عاجل تدمير يه حمل اسلح تابع بوليساريو شرق جدار أمن منطق محبس,misleading-title,False,اجتماعي
أبراج الكهرباء بآيسلندا صممت على هيئة بشر,أبراج كهرباء إيسلندا صمم هي بشر,missing-content,Partly-false,اجتماعي
صورة أوغور شاهين -مؤسس شركة BioNTech- لما كان طفلا,صورة أوغور شاه موسس شرك  طفل,misleading,False,اجتماعي
قذائف وصواريخ تسقط على منطقة الكركرات الفاصلة بين المغرب وموريتانيا.,قذايف صاروخ سقط منطق كركر فاصل مغرب موريتانيا,misleading,False,سياسي
"الدفعة الثانية من مدينة مكناس متوجهة ""للكركرات"" بالصحراء المغربية .",دفع ثاني مدين مكناس متوجه كركر صحراء مغربي,misleading-title,False,اجتماعي
هذا الحيوان يسمى البلاتيبوس ( platypus ) أو خلد الماء يعيش في شمال تسمانيا في أستراليا.,حيوان سمى بلاتيبوس  خلد ماء عاش تسمانيا أستراليا,مضلل,Partly-false,ثقافة وفن
صورة تظهر ملاجئ الحرب العالمية الثانية.,صورة ظهر ملاج حرب عالمي ثاني,مضلل,Partly-false,سياسة
مقطع فيديو لقصف الجيش الهندي مواقع في كشمير.,مقطع يديو قصف جيش هند موقع شمير,مضلل,Partly-false,سياسة
قيادي عسكري من ‎البوليساريو يُدعى بابا البشير يلتحق بالمغرب ويدخل بسيارته رباعية الدفع وسلاح كلاشينكوف بعد اجتياز الجدار الرملي وتسليم نفسه للقوات المسلحة الملكية فجر الخميس.,قياد عسكر بوليساريو ودع ابا بشير التحق مغرب دخل سيارة رباعي دفع سلاح لاشينكوف اجتياز جدار رمل تسليم نفس قوة مسلح ملكي فجر خميس,مضلل,Partly-false,سياسة
"صرح أردوغان قائلاً ""أتساءل أين صوت منبر رسول الله في مسجد رسول الله في الدفاع عن رسول الله؟"" مشيراً إلى صمت السعودية عن الرسومات المسيئة للنبي.",صرح اردوغان قايل اتساءل صوت منبر رسول ل مسجد رسول ل دفاع رسول ل مشير صمت سعودي رسم مس نب,زائف,False,سياسة
اشتباك في منطقة المحبس بين البوليساريو والجيش المغربي.,اشتباك منطق محبس بوليساريو جيش مغرب,مضلل,Partly-false,سياسة
الرئيس الأميركي المنتخب جو بايدن يحتفل بعيد ميلاده دون كمامة.,رييس امير منتخب جو ايدن احتفل عيد ميلاد مام,مضلل,Partly-false,سياسة
مجموعة دليس للألبان في تونس، تُصدر معقماً لليدين ضمن متوجاتها.,مجموع دليس باني تونس صدر معقم يد ضمن متوج,زائف,False,أعمال
فيديو لفرق التقصي الوبائي يرقصون في احتفال بعد نتائج الانتخابات الأردنية.,يديو فرق تقص باي رقص احتفال نتايج انتخاب أردني,مضلل,Partly-false,أخبار
صورة لعتاد الجيش الجزائري وهو معروض للبيع. شنغريحة فتح سوقاً في منطقة بشار، وكل من يريد شراء السلاح يستطيع ذلك.,صورة عتاد جيش جزاير معروض بيع شنغريح فتح سوق منطق شاري أراد شراء سلاح استطاع,مضلل,Partly-false,سياسة
فيديو لباحثة فرنسية تُنصف الإسلام و تُنوه بتعاليمه السمحة وتُصحح المفاهيم.,يديو باحث رنسي تنصف إسلام تنو تعليم سمح صحح مفهوم,مضلل,Partly-false,روحانيات ودين
الرئيس الأميركي جو بايدن يحرج رئيس فرنسا أمام الجميع ويدافع عن الرسول محمد والإسلام.,رييس امير جو ايدن أحرج رييس رنسا جميع دافع رسول محمد إسلام,زائف,False,سياسة
صور لأسامة بن لادن مع شخصيات أميركية.,صورة اسام ابن ادن شخصية أميركي,زائف,False,سياسة
منظومة أوسا التابعة للجيش الصحراوي تتمكن من إسقاط طائرة مسيرة للاستطلاع، إماراتية - صهيونية الصنع، تابعة للجيش المغربي قرب الشريط العازل.,منظوم اوسا تابع جيش صحراو تمكن اسقاط طاير مسير استطلاع إماراتي صهيوني صنع تابع جيش مغرب قرب شريط عازل,مضلل,Partly-false,سياسة
صور 50 قتيلاً من جبهة البوليساريو استهدفتهم القوات المغربية.,صورة خمسون قتيل جبه بوليساريو استهدف قوة مغربي,مضلل,Partly-false,سياسة
الطفل حافي القدمين على يمين الصورة هو البروفيسور أوغور شاهين، مؤسس شركة بيوآنتك التي تستعد لإنتاج أحد لقاحات كوفيد-19.,طفل حاف قدم صورة بروفسور أوغور شاه موسس شرك يوان استعد إنتاج أحد قاح يد تسعة وعشرة,زائف,False,علوم
"بعد تعيينه نائب رئيس ""الجمعية الدستورية القطرية""، الرئيس قيس سعيد، يؤدي اليمين أمام الشيخة موزا بنت ناصر في الدوحة.",تعيين نايب رييس جمعي دستوري قطري رييس قيس سعيد ود يم شيخ موز بنت ناصر دوح,مضلل,Partly-false,سياسة
"تحرك لقوات الجيش المغربي في منطقة ""الكركرات"" بالصحراء المغربية",تحرك قوة جيش مغرب منطق كركر صحراء مغربي,misleading-title,False,اجتماعي
بايدن طلب من ماكرون الاعتذار من المسلمين,ايدن طلب ماكر اعتذار مسلم,خطأ,False,politics
مقطع فيديو لحرباء تغيّر لونها بحسب ما تلمسه.,مقطع يديو حرباء تغير ون حسب لمس,زائف,False,ترفيه
"صورة من الغارات الجوية ""الإسرائيلية"" على سورية.",صورة غارة جوي اسراييلي سوري,مضلل,Partly-false,سياسة
صورة لصغار خلد الماء / platypus,صورة صغير خلد ماء ,misleading,False,اجتماعي
أوباميانغ عبر تويتر: أتمنى يا توني كروس أنك استمتعت بالاحتفالات الـ6 التي حدثت أمامك.,اوباميانغ تويتر اتمن تون روسي ان استمتع احتفال ستة حدث امام,زائف,False,رياضة
صورة لتدمير القوات المسلحة لدبابة تنقل أسلحة جبهة البوليساريو.,صورة تدمير قوة مسلح دباب نقل اسلح جبه بوليساريو,مضلل,Partly-false,سياسة
صورة لأول حادث تصادم بين سيارتين في ولاية أوهايو الأميركية عام 1895 والمضحك في الأمر أنه لم يكن في هذه الولاية إلا هاتين السيارتين.,صورة أول حادث تصادم سيارة لاي أوهايو أميركي عام ألف وثمانمئة وخمسة وتسعون مضحك أمر كان لا الا سيارة,مضلل,Partly-false,تكنولوجيا
الصورة لطبيب سوري يدعى محمد عزيزية أمضى مدة 20 ساعة متواصلة، داخل غرفة العمليات في المستشفى الذي يعمل به.,صورة طبيب سور ودع محمد عزيز امض مد عشرون ساعي متواصل داخل غرفة عملية مستشف عمل,مضلل,Partly-false,أخبار
اللاعب محمد صلاح خلال حجره الصحي في الجونة,لاعب محمد صلاح حجر صح جون,partially-fake,Partly-false,اجتماعي
مقطعا فيديو لقطار تابع للجيش المغربي متوجه إلى معبر الكركرات الحدودي.,مقطع يديو قطار تابع جيش مغرب متوج معبر كركر حد,مضلل,Partly-false,أخبار
صورة حصرية للرئيس تبون من داخل المستشفى.,صورة حصري رييس تب داخل مستشف,زائف,False,سياسة
قد لا تصدق أنها رسمة!,تصدق ان رسم,مضلل,Partly-false,ثقافة وفن
صور حصرية: القوات المسلحة الملكية المغربية تقوم ببناء جدار يمتد من نقطة الكركرات إلى نقطة 55 للحدود الموريتانية لمنع أي تحرك مستقبلي لقطاع الطرق.,صورة حصري قوة مسلح ملكي مغربي قام بناء جدار امتد نقطة كركر نقطة خمسة وخمسون حد موريتاني منع تحرك مستقبل قطاع طريق,مضلل,Partly-false,سياسة
مقاطعة المسلمين للمنتجات الفرنسية تجبر المحكمة الأوروبية لحقوق الإنسان على إصدار حكم بتجريم إهانة الرسول.,مقطع مسلم منتج فرنسي أجبر محكم أوروبي حق إنسان إصدار حكم تجريم اهان رسول,مضلل,Partly-false,أخبار
صورة لشلالات ملوّنة في نيجيريا.,صورة شلال ملون نيجيريا,مضلل,Partly-false,سفر
"أول تصريح لبايدن حول العراق بعد فوزه في الانتخابات الرئاسية الأميركية، ""العراق يجب أن يعود إلى سكانه الأصليين، اليهود والمسيحيين، فهم وحدهم قادرين على قيادته، ورئيس الوزراء القادم لن يكون شيعياً ولا سنياً، سوف يكون يهودياً أو مسيحياً وسوف يأتي بإرادة العراقيين الطاميحن بمستقبل أفضل وحياة كريمة"".",أول تصريح بايدن حول عراق وز انتخاب رياسي أميركي عراق وجب عاد ساكن اصلي يهودي مسيحي هم حد قادر قيادة رييس وزير قادم كان شيعي سني كان يهودي مسيحي يا أراد عراقي طاميحن مستقبل أفضل حي رئم,زائف,False,سياسة
صور لاستعدادات القوات المسلحة التابعة لجبهة البوليساريو لمواجهة الجيش المغربي.,صورة استعداد قوة مسلح تابع جبه بوليساريو مواجه جيش مغرب,مضلل,Partly-false,سياسة
"وزير الإعلام المصري يختار اليوتيوبر المصرية الشهيرة بسنت نور الدين كسفيرة للإعلام الجديد.
تعيين بسنت نور الدين مستشارة وزير الإعلام المصري.",زير اعلام مصر اختار يوتيوبر مصري شهير سن نور د سفير اعلام جديد وعى سن نور د مستشار زير اعلام مصر,زائف,False,أخبار
"فيديو للحظة سقوط أحد الصواريخ التي أُطلقت على ""المنطقة الخضراء""، في حي سكني قريب.",يديو لحظ سقوط أحد صاروخ أطلق منطق أخضر حي سكن قريب,مضلل,Partly-false,أخبار
طائرة امريكيه ترمي مخلوقات غريبه فوق الاسطح وشوهد هذا الحيوان على اسطح احد بيوت محافظة المثنى,طاير امريكي ترم مخلوق غريب اسطح شاهد حيوان اسطح أحد يو محافظ مثن,misleading-title,False,اجتماعي
فيديو يوثق سرقة تركيا أشجار الزيتون من عفرين السورية ونقلها إلى مدينة هاتاي.,يديو وثق سرق تركيا أشجار زيتون عفر سوري نقل مدين هات,misleading-title,False,اجتماعي
مقاطعة البضائع الفرنسية في ورطة في جميع انحاء العالم العربي والإسلامي,مقطع ضايع فرنسي رط أنحاء عالم عرب إسلام,خطأ,False,politics
عادة أردنية قديمة، لايزال البعض يعمل بها، فحين تتأخر الفتاة عن الزواج في موسم الزيتون يجعلونها تستلقي على حبات الزيتون، وتدور حولها والدتها قائلة يارب بعدد حبات الزيتون يجيها عريس مزيون.,عاد أردني قديم ايزال بعض عمل ح تتاخر فت زواج موسم زيتون جعل تستلق حب زيتون دار حول الد قايل يارب عدد حب زيتون يجي عريس مزي,مضلل,Partly-false,ثقافة وفن
صورة إعدام شهداء ثورة البراق عام 1929.,صورة إعدام شهيد ثور براق عام ألف وتسعمئة وتسعة وعشرون,مضلل,Partly-false,سياسة
صورة حصرية لتبون في المستشفى,صورة حصري تب مستشف,مركب,False,health
صورتان لعجل وبقرة من حرائق الجزائر الأخيرة.,صورة عجل بقر حرايق جزاير أخير,مضلل,Partly-false,أخبار
"صورة تظهر جندي من جبهة البوليساريو خلفه أرتال من صواريخ ""توشكا"".",صورة ظهر جند جبه بوليساريو خلف أرتال صاروخ أوشك,مضلل,Partly-false,سياسة
هكذا خرج ‎الأذربيجانيون من إقليم كاراباخ، وهكذا عادوا إليه.,خرج اذربيجاني إقليم اراباخ هكذا عاد يه,مضلل,Partly-false,سياسة
في قبيلة بودي الإثيوبية، صاحب الكرش الأكبر يُصبح رئيسًا للقبيلة ويتزوج بأي امرأة يريدها، وبعدد النساء الذي يريد.,قبيل ود اثيوبي صاحب كرش أكبر أصبح رييس قبيل تزوج با أمر أراد عدد نساء أراد,مضلل,Partly-false,ثقافة وفن
مقطع فيديو من معركة الصحراء الغربية بين القوات المغربية وجبهة البوليساريو.,مقطع يديو معرك صحراء غربي قوة مغربي جبه بوليساريو,مضلل,Partly-false,أخبار
مليونية مؤيدة لترامب,مليون مويد ترامب,خطأ,False,politics
…الناس اللي نزلوا لترامپ بالملايين,ناس ل نزل ترامب ملاي,خطأ,False,politics
فرنسا .. حجارة تسقط من السماء .. سبحان الله ..,رنسا حجار سقط سماء ل,misleading-title,False,اجتماعي
ظهور شمسين في عدة مناطق في العالم,ظهور شمس عد منطقة عالم,misleading,False,علوم
الصورة لمظاهرة مؤيدة ل ترامب في واشنطن,صورة مظهر مويد ترامب اشنطن,خطأ,False,politics
الإعلامية هبة الزياد تدعو لتناول من 15 إلى 20 نواة مشمش للوقاية والعلاج من داء السرطان.,إعلامي هب زياد دعا تناول خمسة وعشرة عشرون نوا مشمش وقاي علاج داء سرطان,fake,False,طبي
زوجان نباتيان يتبنيان نبات بروكلي.,زوج نباتي يتبني نبات روكل,ساخر,Sarcasm,أخبار
صور النائب التونسية محرزية العبيدي في طائرة خاصة إلى باريس، لتلقي العلاج، بعد تعرضها لوعكة صحية.,صورة نايب تونسي محرز عبيد طاير خاص اريس لقي علاج تعرض وعك صحي,مضلل,Partly-false,سياسة
"""الجزائر تعلن حالة الطوارئ في تيندوف إثر المواجهة القائمة بين الاحتلال المغربي و جبهة البوليساريو، والجيش الجزائري يُفعل منظومة إس-400 تحسباً لأي طارئ"".",جزاير أعلن حال طوار تيندوف اثر مواجه قايم احتلال مغرب جبه بوليساريو جيش جزاير فعل منظوم اس أربعمئة تحسب لا طار,زائف,False,سياسة
"رئيس الشيشان يعلن مكافأة بمقدار 100 ألف روبل لكل مولود جديد يسمى باسم ""محمد"".",رييس شيشان أعلن مكافا مقدار مئة ألف روبل كل مولود جديد سمى اسم محمد,انتقائي,True,سياسة
صورة محمد صلاح خلال عزله في مدينة الجونة.,صورة محمد صلاح عزل مدين جون,مضلل,Partly-false,رياضة
أميركي يبيع العلمين النازي والكونفدرالي في تظاهرات تدعم دونالد ترامب وترفض نتائج الانتخابات الأميركية.,امير باع علم ناز كونفدرال تظاهر دعم دونالد ترامب رفض نتايج انتخاب أميركي,مضلل,Partly-false,سياسة
"صورة تجمع مغني الراي الجزائري الشاب حسني، بمغني الهيب هوب' ""توباك شاكور"" ومغني الراب ""سنوب دوغ"".",صورة جمع مغني را جزاير شاب حسن مغني هيب هوب توباك شاكور مغني راب نوبة دوغ,زائف,False,ثقافة وفن
الرئيس الأميركي المقبل جو بايدن من أصول إيرانية كردية.,رييس امير مقبل جو ايدن أصول ايراني ردي,زائف,False,سياسة
نجت طائرة تركية من حادث تصادم متعمد خطط له الإرهابي مع ناقلة وقود. خبرة الطيار والقرار الذي اتخذه في غضون جزء من الثانية أنقذ 380 راكباً على متن الطائرة.,نجا طاير تركي حادث تصادم متعمد خطة إرهاب ناقل قود خبر طيار قرار اتخذ غضن جزء ثاني أنقذ ثلاثمئة وثمانون راكب متن طاير,مضلل,Partly-false,أخبار
صورة لم تتداولها الصحف الإخبارية لفتاة تسحل في الشارع من قبل عناصر أمنية في فرنسا خلال احتجاجات حدثت منذ أشهر.,صورة تداول صحيفة اخباري فت تسحل شارع عنصر أمني رنسا احتجاج حدث أشهر,مضلل,Partly-false,سياسة
هكذا رد شعب جمهورية مالي على فرنسا اللتي طردها منذ مدة تعلموا احترام مقدسات الشعوب,رد شعب جمهوري مال رنسا لت طرد مد تعلم احترام مقدس شعب,misleading-title,False,اجتماعي
الرئيس الأمريكي دونالد ترامب يغني لشعبه,رييس امر دونالد ترامب أغنى شعب,sarcastic,Sarcasm,اجتماعي
صورة الطفلة والنسر، التقطت عام 1993، في قرية أيود جنوب السودان، من قبل المصور الجنوب إفريقي كيفن كارتر، الذي أنهى حياته بالانتحار داخل سيارته بسببها.,صورة طفل نسر تقط عام ألف وتسعمئة وثلاثة وتسعون قري ايود جنوب سودان مصور جنوب افريق يفن ارتر ان حية انتحار داخل سيارة سبب,زائف,False,ثقافة وفن
وكالة ناسا تعلن عن ثلاثة أيام من الظلام في ديسمبر القادم.,ال ناس أعلن ثلاث أيام ظلام قادم,زائف,False,علوم
رياح وأمطار قوية تحمل حجارة في فرنسا.,ريح أمطار قوي حمل حجار رنسا,misleading-title,False,علوم
صورة قنبلة كهرومغناطيسية في كوريا الشمالية,صورة قنبل هرومغناطيسي ري شمالي,misleading-title,False,سياسي
ﺳﻴﺪﺓ ﺟﺰﺍﺋﺮﻳﺔ ﺗﺒﻜﻲ ﻭﺣﺪﻫﺎ ﻓﻲ ﻣﻄﺎﺭ ﺍﻟﺠﺰﺍﺋﺮ، ﻓﻘﺪ ﺭﺣﻠﺖ ﻋﻨﻬﺎ ﻄﺎﺋﺮﺓ اﻠﺤﺞ.,سيد جزايري بكى وحد في مطار جزاير قد رحل عن طاير حج,مضلل,Partly-false,سفر
هروب أعضاء جبهة البوليساريو؛ خوفاً من الجيش المغربي في صحراء المغرب.,هروب أعضاء جبه بوليساريو خوف جيش مغرب صحراء مغرب,مضلل,Partly-false,أخبار
صحافيون ينتظرون خروج الصواريخ من قطاع غزة في ذكرى اغتيال بهاء أبو العطا السنوية.,صحافي انتظر خروج صاروخ قطاع غز ذكر اغتيال هاء أبو عطا سنوي,مضلل,Partly-false,سياسة
